Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-10,48.82,49.279,48.615,49.192,2116600,0.0,0.0
2017-08-11,49.018,49.247,48.694,48.907,1416400,0.0,0.0
2017-08-14,48.931,49.216,48.899,49.152,892400,0.0,0.0
2017-08-15,48.971,49.492,48.939,49.469,961900,0.0,0.0
2017-08-16,49.492,49.714,49.303,49.65,836100,0.0,0.0
2017-08-17,49.69,49.785,49.326,49.382,1114000,0.0,0.0
2017-08-18,49.31,49.951,49.065,49.856,1481000,0.0,0.0
2017-08-21,49.903,49.951,49.603,49.785,1275300,0.0,0.0
2017-08-22,49.737,49.84,49.524,49.737,2193400,0.0,0.0
2017-08-23,49.761,49.959,49.619,49.919,1531600,0.0,0.0
2017-08-24,49.919,50.125,49.753,49.785,1394400,0.0,0.0
2017-08-25,49.848,50.117,49.777,49.872,1325400,0.0,0.0
2017-08-28,49.896,50.085,49.801,50.022,1147000,0.0,0.0
2017-08-29,50.133,50.338,49.975,50.038,647300,0.0,0.0
2017-08-30,50.069,50.156,49.809,49.998,883100,0.0,0.0
2017-08-31,50.046,50.172,49.73,49.809,1782200,0.0,0.0
2017-09-01,49.951,49.951,49.421,49.469,1102500,0.0,0.0
2017-09-05,49.508,49.777,49.303,49.769,1315800,0.0,0.0
2017-09-06,49.911,49.911,49.382,49.5,1769600,0.0,0.0
2017-09-07,49.627,50.022,49.469,49.967,1582200,0.0,0.0
2017-09-08,49.888,50.33,49.777,50.196,1127800,0.0,0.0
2017-09-11,50.156,50.749,50.006,50.686,1393900,0.0,0.0
2017-09-12,50.718,50.718,49.303,49.524,1288600,0.0,0.0
2017-09-13,49.469,49.65,49.231,49.31,1104500,0.0,0.0
2017-09-14,49.287,49.888,49.137,49.848,1446000,0.0,0.0
2017-09-15,49.658,49.943,49.413,49.698,2129600,0.0,0.0
2017-09-18,49.829,49.837,48.762,49.144,1450300,0.475,0.0
2017-09-19,49.184,49.335,48.929,49.208,1447300,0.0,0.0
2017-09-20,49.359,49.375,48.706,48.977,1573600,0.0,0.0
2017-09-21,48.977,49.272,48.834,48.945,1125400,0.0,0.0
2017-09-22,49.065,49.112,48.332,48.364,1678500,0.0,0.0
2017-09-25,48.419,49.033,48.324,48.969,1283600,0.0,0.0
2017-09-26,48.985,49.104,48.738,48.865,1218900,0.0,0.0
2017-09-27,48.626,48.746,47.997,48.14,1153200,0.0,0.0
2017-09-28,48.18,48.547,47.806,48.252,2710200,0.0,0.0
2017-09-29,48.196,48.379,47.997,48.148,3067600,0.0,0.0
2017-10-02,48.204,48.371,48.021,48.101,1300900,0.0,0.0
2017-10-03,48.045,48.109,47.471,47.965,1625000,0.0,0.0
2017-10-04,48.085,48.475,47.854,48.427,1585700,0.0,0.0
2017-10-05,48.451,48.467,48.053,48.3,1113600,0.0,0.0
2017-10-06,48.132,48.284,47.901,48.101,1593600,0.0,0.0
2017-10-09,48.148,48.34,47.997,48.053,1774300,0.0,0.0
2017-10-10,48.013,48.348,47.862,48.324,1636800,0.0,0.0
2017-10-11,48.324,48.929,48.228,48.834,1832900,0.0,0.0
2017-10-12,48.802,49.351,48.682,49.128,1757400,0.0,0.0
2017-10-13,49.367,49.551,49.001,49.112,1482700,0.0,0.0
2017-10-16,49.025,49.168,48.587,48.754,2079200,0.0,0.0
2017-10-17,48.794,49.2,48.674,49.184,1393900,0.0,0.0
2017-10-18,49.073,49.12,48.794,48.945,1050000,0.0,0.0
2017-10-19,49.041,49.439,48.937,49.439,1630200,0.0,0.0
2017-10-20,49.304,49.558,49.224,49.495,1017100,0.0,0.0
2017-10-23,49.598,49.726,49.304,49.686,1401200,0.0,0.0
2017-10-24,49.447,49.789,49.256,49.726,1710000,0.0,0.0
2017-10-25,49.511,49.678,49.065,49.654,2062600,0.0,0.0
2017-10-26,49.805,50.06,49.511,49.582,1615900,0.0,0.0
2017-10-27,49.503,50.06,49.487,50.021,1266400,0.0,0.0
2017-10-30,49.885,49.917,49.479,49.782,1925100,0.0,0.0
2017-10-31,49.75,50.052,49.638,49.901,1965400,0.0,0.0
2017-11-01,50.021,50.236,49.375,49.933,2622800,0.0,0.0
2017-11-02,50.291,50.403,49.59,50.371,1998000,0.0,0.0
2017-11-03,50.291,51.016,50.22,50.618,1381900,0.0,0.0
2017-11-06,50.65,51.0,50.403,50.745,2325900,0.0,0.0
2017-11-07,50.984,51.47,50.65,51.399,1990200,0.0,0.0
2017-11-08,51.327,51.789,51.064,51.486,2110800,0.0,0.0
2017-11-09,51.415,51.678,51.271,51.526,1301000,0.0,0.0
2017-11-10,51.223,51.319,50.865,51.04,1555600,0.0,0.0
2017-11-13,51.064,51.646,50.992,51.59,1423800,0.0,0.0
2017-11-14,51.47,52.458,51.351,52.426,1761200,0.0,0.0
2017-11-15,52.506,52.697,51.749,51.781,1607800,0.0,0.0
2017-11-16,51.781,51.964,51.431,51.693,1677300,0.0,0.0
2017-11-17,51.478,51.693,51.032,51.152,1602400,0.0,0.0
2017-11-20,51.184,51.192,50.666,50.857,1486000,0.0,0.0
2017-11-21,50.881,51.136,50.841,50.929,1302300,0.0,0.0
2017-11-22,50.873,50.953,50.538,50.833,1466000,0.0,0.0
2017-11-24,51.024,51.247,50.961,51.247,621500,0.0,0.0
2017-11-27,51.144,51.494,50.992,51.319,1058900,0.0,0.0
2017-11-28,51.439,51.749,51.343,51.431,1217700,0.0,0.0
2017-11-29,51.367,51.805,51.192,51.47,1599400,0.0,0.0
2017-11-30,51.439,51.733,51.327,51.662,3708400,0.0,0.0
2017-12-01,51.901,52.673,51.821,52.124,3423600,0.0,0.0
2017-12-04,52.203,52.665,52.036,52.163,2108900,0.0,0.0
2017-12-05,52.179,52.179,51.239,51.685,2019600,0.0,0.0
2017-12-06,51.757,52.06,51.654,51.869,1596500,0.0,0.0
2017-12-07,51.861,51.861,51.359,51.709,2395000,0.0,0.0
2017-12-08,51.654,51.964,51.439,51.956,1741400,0.0,0.0
2017-12-11,51.956,52.41,51.749,52.339,1545000,0.0,0.0
2017-12-12,52.148,52.267,51.088,51.152,1701900,0.0,0.0
2017-12-13,51.622,52.195,51.327,51.845,1931800,0.0,0.0
2017-12-14,51.709,51.94,51.184,51.606,1749100,0.0,0.0
2017-12-15,51.802,52.091,51.642,51.859,2786500,0.475,0.0
2017-12-18,51.827,52.027,51.241,51.289,1426300,0.0,0.0
2017-12-19,51.233,51.337,50.189,50.23,1341500,0.0,0.0
2017-12-20,50.31,50.502,49.925,49.933,1012600,0.0,0.0
2017-12-21,49.644,50.125,49.499,49.74,1579200,0.0,0.0
2017-12-22,49.933,50.181,49.748,50.053,1231500,0.0,0.0
2017-12-26,50.254,50.366,49.7,49.724,653800,0.0,0.0
2017-12-27,50.013,50.31,49.868,50.181,1139000,0.0,0.0
2017-12-28,50.39,50.559,50.181,50.518,1033900,0.0,0.0
2017-12-29,50.454,50.888,50.454,50.703,1538400,0.0,0.0
2018-01-02,50.703,50.912,50.181,50.679,4243900,0.0,0.0
2018-01-03,50.51,50.839,49.997,50.23,2311800,0.0,0.0
2018-01-04,50.173,50.246,49.443,49.523,2300300,0.0,0.0
2018-01-05,49.636,49.828,49.25,49.612,2265100,0.0,0.0
2018-01-08,49.612,49.989,49.403,49.957,1804600,0.0,0.0
2018-01-09,49.917,50.069,49.323,49.579,2255300,0.0,0.0
2018-01-10,49.435,49.459,49.074,49.21,1716000,0.0,0.0
2018-01-11,49.066,49.379,48.945,49.371,1822400,0.0,0.0
2018-01-12,49.291,49.692,49.13,49.234,2804700,0.0,0.0
2018-01-16,49.242,49.467,48.416,48.913,2079300,0.0,0.0
2018-01-17,48.905,49.579,48.849,49.475,1986000,0.0,0.0
2018-01-18,49.563,49.563,48.673,48.801,4200700,0.0,0.0
2018-01-19,48.937,49.106,48.673,48.785,2158000,0.0,0.0
2018-01-22,49.05,49.226,48.641,48.761,2493400,0.0,0.0
2018-01-23,48.311,49.459,48.295,49.05,3995700,0.0,0.0
2018-01-24,48.962,49.339,48.568,49.058,4666600,0.0,0.0
2018-01-25,49.09,52.067,49.018,51.818,6160700,0.0,0.0
2018-01-26,52.043,52.156,50.791,51.417,3695100,0.0,0.0
2018-01-29,50.976,51.233,49.917,50.109,2827100,0.0,0.0
2018-01-30,50.061,50.679,49.941,50.205,2353000,0.0,0.0
2018-01-31,50.262,50.687,50.021,50.631,2518100,0.0,0.0
2018-02-01,50.671,50.896,47.613,48.279,5772000,0.0,0.0
2018-02-02,46.859,47.814,46.578,47.629,6519800,0.0,0.0
2018-02-05,47.397,47.822,46.811,46.811,4104100,0.0,0.0
2018-02-06,46.297,46.498,45.551,46.177,3545900,0.0,0.0
2018-02-07,46.185,46.714,45.647,45.655,3236300,0.0,0.0
2018-02-08,45.591,45.864,45.021,45.029,2502600,0.0,0.0
2018-02-09,45.158,46.089,44.885,45.759,2749800,0.0,0.0
2018-02-12,45.808,46.434,45.35,46.169,2176600,0.0,0.0
2018-02-13,45.928,46.377,45.438,46.241,1787800,0.0,0.0
2018-02-14,45.976,46.361,45.615,46.209,2544400,0.0,0.0
2018-02-15,46.418,47.011,46.265,47.003,3189100,0.0,0.0
2018-02-16,46.923,47.653,46.923,47.445,1509700,0.0,0.0
2018-02-20,47.172,47.356,46.514,46.682,1145100,0.0,0.0
2018-02-21,46.634,47.06,46.016,46.032,1900700,0.0,0.0
2018-02-22,46.129,46.594,45.848,46.129,3204800,0.0,0.0
2018-02-23,46.225,47.822,46.129,47.726,2514200,0.0,0.0
2018-02-26,47.661,47.661,46.947,47.204,1699400,0.0,0.0
2018-02-27,47.316,47.469,46.048,46.056,1776900,0.0,0.0
2018-02-28,46.281,46.45,45.743,45.743,1912500,0.0,0.0
2018-03-01,45.743,46.329,45.302,45.382,2715400,0.0,0.0
2018-03-02,45.406,46.072,45.366,45.824,2678400,0.0,0.0
2018-03-05,45.682,46.84,45.617,46.735,1812000,0.505,0.0
2018-03-06,46.597,46.629,45.803,45.893,1877000,0.0,0.0
2018-03-07,45.868,46.2,45.447,45.577,2226900,0.0,0.0
2018-03-08,45.739,46.249,45.739,46.046,2284200,0.0,0.0
2018-03-09,46.054,46.354,45.86,46.346,1634000,0.0,0.0
2018-03-12,46.427,47.204,46.03,46.2,3158800,0.0,0.0
2018-03-13,46.362,46.516,45.617,45.893,2845700,0.0,0.0
2018-03-14,45.982,46.548,45.949,46.305,1718000,0.0,0.0
2018-03-15,46.322,46.864,46.216,46.621,2151900,0.0,0.0
2018-03-16,46.735,47.35,46.686,47.172,3854500,0.0,0.0
2018-03-19,47.228,47.261,46.718,46.994,2167100,0.0,0.0
2018-03-20,47.026,47.18,46.548,46.694,1507800,0.0,0.0
2018-03-21,46.791,47.172,46.281,46.524,1607700,0.0,0.0
2018-03-22,46.629,47.617,46.378,46.565,1967700,0.0,0.0
2018-03-23,46.686,47.107,45.868,45.982,1359100,0.0,0.0
2018-03-26,46.152,46.702,46.071,46.581,1408600,0.0,0.0
2018-03-27,46.686,48.054,46.516,47.439,2811300,0.0,0.0
2018-03-28,47.593,47.892,47.139,47.342,1925300,0.0,0.0
2018-03-29,47.569,48.087,47.399,47.706,1846300,0.0,0.0
2018-04-02,47.811,48.378,47.204,47.504,2584100,0.0,0.0
2018-04-03,47.447,48.232,47.204,48.014,2708600,0.0,0.0
2018-04-04,47.868,48.419,47.585,48.2,2609400,0.0,0.0
2018-04-05,48.111,48.751,47.585,48.589,1797100,0.0,0.0
2018-04-06,48.629,48.913,48.127,48.297,1769300,0.0,0.0
2018-04-09,48.273,48.775,48.241,48.346,1576200,0.0,0.0
2018-04-10,48.492,48.5,47.973,48.022,1565400,0.0,0.0
2018-04-11,48.014,48.386,47.941,48.103,1450500,0.0,0.0
2018-04-12,48.111,48.362,47.455,47.479,1719800,0.0,0.0
2018-04-13,47.65,48.054,47.65,47.795,1221300,0.0,0.0
2018-04-16,48.014,48.443,47.868,48.322,1620100,0.0,0.0
2018-04-17,48.37,48.945,48.265,48.775,1738700,0.0,0.0
2018-04-18,48.937,49.245,48.492,48.5,1371500,0.0,0.0
2018-04-19,48.411,48.573,47.99,48.467,1107100,0.0,0.0
2018-04-20,48.532,48.532,47.714,47.949,1478700,0.0,0.0
2018-04-23,48.071,48.411,47.698,47.941,1288000,0.0,0.0
2018-04-24,48.006,48.508,47.82,48.127,2045300,0.0,0.0
2018-04-25,47.957,48.257,47.569,48.071,1718700,0.0,0.0
2018-04-26,48.103,48.718,47.795,48.597,1640400,0.0,0.0
2018-04-27,48.524,49.301,48.394,49.083,1288600,0.0,0.0
2018-04-30,49.058,49.285,48.686,48.783,2872500,0.0,0.0
2018-05-01,48.888,48.945,48.241,48.378,2356700,0.0,0.0
2018-05-02,48.346,48.573,48.046,48.33,1671400,0.0,0.0
2018-05-03,47.892,48.2,47.382,47.666,1777400,0.0,0.0
2018-05-04,47.844,47.973,47.504,47.803,1828000,0.0,0.0
2018-05-07,47.852,47.917,47.447,47.552,1672200,0.0,0.0
2018-05-08,47.439,47.536,46.33,46.411,2113900,0.0,0.0
2018-05-09,46.532,46.532,45.65,46.152,1720300,0.0,0.0
2018-05-10,46.589,46.945,46.281,46.921,1289300,0.0,0.0
2018-05-11,46.961,47.034,46.726,46.994,945000,0.0,0.0
2018-05-14,47.01,47.188,46.378,46.581,2212700,0.0,0.0
2018-05-15,46.427,46.573,45.99,46.467,1494300,0.0,0.0
2018-05-16,46.548,46.848,46.322,46.508,2636800,0.0,0.0
2018-05-17,46.556,46.726,46.119,46.233,1888000,0.0,0.0
2018-05-18,46.2,46.654,46.087,46.411,1844600,0.0,0.0
2018-05-21,46.548,46.597,46.103,46.532,1742000,0.0,0.0
2018-05-22,46.508,46.929,46.467,46.783,1759100,0.0,0.0
2018-05-23,46.91,47.253,45.178,46.183,5314600,0.505,0.0
2018-05-24,46.183,46.281,45.791,46.256,2857700,0.0,0.0
2018-05-25,46.354,46.395,45.93,45.954,2806600,0.0,0.0
2018-05-29,46.109,46.787,46.036,46.403,3023600,0.0,0.0
2018-05-30,46.297,46.836,46.068,46.673,2262900,0.0,0.0
2018-05-31,46.689,46.91,46.403,46.624,2076500,0.0,0.0
2018-06-01,46.273,46.493,45.407,45.578,2536100,0.0,0.0
2018-06-04,45.717,45.938,45.325,45.333,2165200,0.0,0.0
2018-06-05,45.35,45.472,44.835,44.917,1444800,0.0,0.0
2018-06-06,44.941,44.949,43.708,43.814,2206400,0.0,0.0
2018-06-07,43.855,44.247,43.414,43.781,2194800,0.0,0.0
2018-06-08,43.945,44.133,43.593,43.749,1391000,0.0,0.0
2018-06-11,43.79,43.806,43.095,43.185,1835600,0.0,0.0
2018-06-12,43.152,44.01,43.12,43.847,2003100,0.0,0.0
2018-06-13,43.969,44.157,43.528,43.643,2293200,0.0,0.0
2018-06-14,43.724,44.173,43.618,44.1,2334100,0.0,0.0
2018-06-15,44.133,44.68,43.855,44.623,3192900,0.0,0.0
2018-06-18,44.565,45.007,44.516,44.998,2393300,0.0,0.0
2018-06-19,45.113,45.921,44.884,45.546,2132100,0.0,0.0
2018-06-20,45.636,45.66,45.284,45.587,1152700,0.0,0.0
2018-06-21,45.423,45.725,45.301,45.497,1219100,0.0,0.0
2018-06-22,46.215,46.338,45.644,45.766,2449300,0.0,0.0
2018-06-25,46.011,46.853,45.97,46.828,2908300,0.0,0.0
2018-06-26,46.763,47.359,46.64,47.008,2506300,0.0,0.0
2018-06-27,47.253,47.482,46.771,47.367,1556300,0.0,0.0
2018-06-28,47.498,47.808,47.343,47.604,1762100,0.0,0.0
2018-06-29,47.449,48.119,47.138,47.874,2556600,0.0,0.0
2018-07-02,47.865,48.266,47.669,48.208,1601600,0.0,0.0
2018-07-03,48.258,48.968,48.037,48.617,1338700,0.0,0.0
2018-07-05,48.69,48.813,48.315,48.78,2330800,0.0,0.0
2018-07-06,48.813,49.368,48.78,49.262,1555600,0.0,0.0
2018-07-09,49.507,49.564,47.571,47.751,2145900,0.0,0.0
2018-07-10,47.645,48.258,47.212,47.963,2001900,0.0,0.0
2018-07-11,48.078,48.437,47.988,48.396,1770500,0.0,0.0
2018-07-12,48.47,48.535,48.094,48.307,2399200,0.0,0.0
2018-07-13,48.307,48.584,48.037,48.307,1793600,0.0,0.0
2018-07-16,48.339,48.437,47.923,48.225,2393900,0.0,0.0
2018-07-17,48.331,48.396,47.931,48.086,1926200,0.0,0.0
2018-07-18,48.159,48.176,47.718,47.8,1478100,0.0,0.0
2018-07-19,48.021,48.511,47.914,48.323,1674600,0.0,0.0
2018-07-20,48.176,48.233,47.653,47.988,1737600,0.0,0.0
2018-07-23,47.996,48.094,47.49,47.751,1358900,0.0,0.0
2018-07-24,47.612,48.184,46.959,48.045,2083200,0.0,0.0
2018-07-25,48.127,48.633,47.972,48.47,2129000,0.0,0.0
2018-07-26,48.764,49.45,48.764,49.303,2278000,0.0,0.0
